"Povpreène meseène plaèe in indeksi povpreènih meseènih plaè pri registriranih fiziènih osebah po dejavnostih [SKD 2008], Slovenija, meseèno"

"PLAÈE";"SKD DEJAVNOST";"Plaèa za mesec [EUR] 2008M01";"Plaèa za mesec [EUR] 2009M01";"Plaèa za mesec [EUR] 2010M01";"Plaèa za mesec [EUR] 2011M01";"Plaèa za mesec [EUR] 2012M01";"Plaèa za mesec [EUR] 2013M01";"Plaèa za mesec [EUR] 2014M01";"Plaèa za mesec [EUR] 2015M01";"Plaèa za mesec [EUR] 2016M01";"Plaèa za mesec [EUR] 2017M01";"Plaèa za mesec [EUR] 2018M01"
"Neto plaèa";"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO";520.26;531.94;563.28;620.28;619.84;622.28;616.40;625.84;622.32;626.19;657.13
"Neto plaèa";"B RUDARSTVO";813.96;695.23;711.65;776.10;803.01;844.15;867.19;790.97;830.82;849.42;901.63
"Neto plaèa";"C PREDELOVALNE DEJAVNOSTI";596.02;619.03;633.15;677.90;704.75;720.14;723.78;717.69;713.68;729.00;759.21
"Neto plaèa";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";481.45;482.56;570.50;657.41;653.57;585.33;573.90;627.85;598.73;669.90;621.76
"Neto plaèa";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";685.55;543.82;512.79;608.82;647.98;669.24;707.52;622.61;615.80;695.22;740.17
"Neto plaèa";"F GRADBENIŠTVO";495.58;509.61;519.24;580.52;600.45;609.80;616.01;619.08;614.74;626.29;651.15
"Neto plaèa";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";541.07;589.99;597.61;640.14;661.32;667.83;669.79;662.12;653.80;680.62;713.56
"Neto plaèa";"H PROMET IN SKLADIŠÈENJE";505.40;527.56;531.08;593.55;601.48;611.82;625.05;631.13;635.85;657.20;694.26
"Neto plaèa";"I GOSTINSTVO";443.66;478.29;490.71;546.00;546.86;550.39;553.09;537.25;542.30;566.09;600.59
"Neto plaèa";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";575.66;581.81;544.61;619.65;618.82;607.61;595.05;595.67;574.25;598.76;619.01
"Neto plaèa";"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI";498.55;522.21;517.96;557.83;596.85;605.85;591.15;544.06;561.96;582.08;599.13
"Neto plaèa";"L POSLOVANJE Z NEPREMIÈNINAMI";516.30;559.76;587.34;670.23;645.45;561.46;637.63;642.56;589.50;648.43;654.55
"Neto plaèa";"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI";649.03;681.45;694.98;734.44;751.80;754.80;754.12;736.82;732.73;732.79;769.85
"Neto plaèa";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";449.02;474.41;463.56;520.55;515.97;530.87;517.27;479.72;487.63;491.06;499.07
"Neto plaèa";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";-;-;-;-;-;-;-;-;-;-;-
"Neto plaèa";"P IZOBRAŽEVANJE";458.44;509.73;510.06;555.01;572.67;545.83;527.68;517.55;496.67;510.64;533.18
"Neto plaèa";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";730.39;791.58;815.76;848.29;855.26;848.88;849.30;844.71;840.32;854.77;870.60
"Neto plaèa";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";361.29;407.28;375.88;473.97;459.04;486.88;522.74;521.23;488.00;538.38;546.26
"Neto plaèa";"S DRUGE DEJAVNOSTI";415.03;452.23;460.45;523.40;525.00;533.77;538.01;521.24;521.06;534.25;555.21
