"Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih delovnih mest po podroèjih dejavnosti od B do S [SKD 2008], originalni podatki, Slovenija, èetrtletno"

"MERITVE";"SKD DEJAVNOST";"2008Q1";"2009Q1";"2010Q1";"2011Q1";"2012Q1";"2013Q1";"2014Q1";"2015Q1";"2016Q1";"2017Q1";"2018Q1"
"Število zasedenih delovnih mest - SKUPAJ";"B RUDARSTVO";3639;3355;2984;2872;2786;2537;2515;2378;2317;2200;2255
"Število zasedenih delovnih mest - SKUPAJ";"C PREDELOVALNE DEJAVNOSTI";213496;198980;180877;176102;177283;167213;166844;169891;174888;179696;189228
"Število zasedenih delovnih mest - SKUPAJ";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";7520;7680;7899;7717;7801;7619;7675;7507;7350;7280;7270
"Število zasedenih delovnih mest - SKUPAJ";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";8519;8744;8921;8950;9329;9043;9185;8845;8854;8721;8922
"Število zasedenih delovnih mest - SKUPAJ";"F GRADBENIŠTVO";71812;75843;70145;59889;52381;45062;44558;44264;43722;44603;48012
"Število zasedenih delovnih mest - SKUPAJ";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";104362;105166;102161;98819;97850;93191;90751;91800;92913;95514;98376
"Število zasedenih delovnih mest - SKUPAJ";"H PROMET IN SKLADIŠÈENJE";44516;44843;42789;41680;41423;39814;40871;40594;42021;42614;45060
"Število zasedenih delovnih mest - SKUPAJ";"I GOSTINSTVO";28538;29000;28648;27433;27191;25581;24860;24683;26004;27274;28550
"Število zasedenih delovnih mest - SKUPAJ";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";19689;20437;20233;20092;20243;20098;20370;20593;20866;21834;22630
"Število zasedenih delovnih mest - SKUPAJ";"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI";22702;23304;22740;22743;22359;21169;20831;20348;20082;19760;19476
"Število zasedenih delovnih mest - SKUPAJ";"L POSLOVANJE Z NEPREMIÈNINAMI";3611;3982;3964;3766;3647;3536;3495;3469;3522;5771;5944
"Število zasedenih delovnih mest - SKUPAJ";"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI";34336;36114;37262;37751;38551;37528;37998;36453;36724;37342;39022
"Število zasedenih delovnih mest - SKUPAJ";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";23718;23601;23852;23807;23915;22312;23053;28717;30058;33273;34686
"Število zasedenih delovnih mest - SKUPAJ";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";43338;43677;44490;43820;43515;41172;40925;47280;47506;47666;47996
"Število zasedenih delovnih mest - SKUPAJ";"P IZOBRAŽEVANJE";57455;58683;60569;61389;62528;61106;61355;61926;62127;63973;65570
"Število zasedenih delovnih mest - SKUPAJ";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";47247;48161;49236;49775;51328;50360;50810;51635;53393;55621;56719
"Število zasedenih delovnih mest - SKUPAJ";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";10386;10367;10581;10139;10157;9764;9770;10078;10027;10603;10987
"Število zasedenih delovnih mest - SKUPAJ";"S DRUGE DEJAVNOSTI";7698;8000;8030;7625;7548;7285;7245;7398;7336;7974;8235
